country,exchange_name,holiday,date
ארצות הברית,בורסת המניות של ניו יורק,יום העצמאות - שעת סגירה מוקדמת - 13:00,03.07.2025
ארצות הברית,בורסת המניות של ניו יורק,יום העצמאות,04.07.2025
