country,company_name,company_ticker,eps,eps_forcast,revenue,revenue_forcast,company_mkcap,time
ארצות הברית,קל-ויסטה פרמסוטיקלס,KALV,--,-0.8489  /,--,0.00  /,588.63M,
ארצות הברית,ASOS plc PK,ASOMY,--,--  /,--,--  /,506.50M,
ארצות הברית,מת'וד אלקטרוניקס,MEI,--,0.01  /,--,235.04M  /,362.97M,
ארצות הברית,Park Aerospace,PKE,--,--  /,--,--  /,300.54M,
ארצות הברית,FingerMotion,FNGR,--,--  /,--,--  /,115.74M,
ארצות הברית,Pinstripes Holdings,PNST,--,-0.23  /,--,40.84M  /,2.05M,
