country,company_name,company_ticker,eps,eps_forcast,revenue,revenue_forcast,company_mkcap,time,date
ארצות הברית,אלקטרוניק ארטס,EA,--,0.1039  /,--,1.24B  /,37.36B,לאחר סגירת המסחר,"יום שלישי, 29 ביולי, 2025"
ארצות הברית,סייסקו,SYY,--,1.39  /,--,21B  /,37.25B,לפני פתיחת המסחר,"יום שלישי, 29 ביולי, 2025"
ארצות הברית,ארץ' קפיטל גרופ,ACGL,--,2.33  /,--,4.35B  /,32.78B,לאחר סגירת המסחר,"יום שלישי, 29 ביולי, 2025"
ארצות הברית,פי.פי.ג'י. אינדסטריז,PPG,--,2.22  /,--,4.15B  /,26.62B,לאחר סגירת המסחר,"יום שלישי, 29 ביולי, 2025"
ארצות הברית,ארצ'ר-דניאלס-מידלנד,ADM,--,0.8327  /,--,21.56B  /,26.4B,,"יום שלישי, 29 ביולי, 2025"
ארצות הברית,האבל,HUBB,--,4.43  /,--,1.51B  /,22.38B,לפני פתיחת המסחר,"יום שלישי, 29 ביולי, 2025"
ארצות הברית,אסקס פרופרטי טראסט,ESS,--,1.48  /,--,466.31M  /,19.11B,לאחר סגירת המסחר,"יום שלישי, 29 ביולי, 2025"
ארצות הברית,סנטן,CNC,--,2.01  /,--,44.4B  /,15.64B,,"יום שלישי, 29 ביולי, 2025"
ארצות הברית,טרדיין,TER,--,0.5366  /,--,647.52M  /,15.57B,,"יום שלישי, 29 ביולי, 2025"
ארצות הברית,אינסייט,INCY,--,1.4  /,--,1.15B  /,13.28B,לפני פתיחת המסחר,"יום שלישי, 29 ביולי, 2025"
ארצות הברית,ריג'נסי סנטרס,REG,--,0.552  /,--,378.43M  /,12.63B,לאחר סגירת המסחר,"יום שלישי, 29 ביולי, 2025"
ארצות הברית,BXP Inc,BXP,--,0.4038  /,--,850.63M  /,12.51B,לאחר סגירת המסחר,"יום שלישי, 29 ביולי, 2025"
ארצות הברית,סטנלי בלאק אנד דקר,SWK,--,0.4506  /,--,4B  /,11.27B,לפני פתיחת המסחר,"יום שלישי, 29 ביולי, 2025"
ארצות הברית,סיזרס אנטרטיינמנט,CZR,--,0.0908  /,--,2.85B  /,6.25B,לאחר סגירת המסחר,"יום שלישי, 29 ביולי, 2025"
