time,country,volatility,description,actual,forecast,previous
,ארצות הברית,חופשה,ארצות הברית - יום העצמאות - שעת סגירה מוקדמת - 13:00,,,
15:30,ארצות הברית,צפויה תנודתיות גבוהה,שכר ממוצע לשעת עבודה (חודשי)  (יוני),0.2%,0.3%,0.4%
15:30,ארצות הברית,צפויה תנודתיות גבוהה,תביעות ראשוניות לדמי אבטלה,233K,240K,237K
15:30,ארצות הברית,צפויה תנודתיות גבוהה,השינוי במספר המועסקים במגזר הלא-חקלאי  (יוני),147K,111K,144K
15:30,ארצות הברית,צפויה תנודתיות גבוהה,שיעור האבטלה  (יוני),4.1%,4.3%,4.2%
16:45,ארצות הברית,צפויה תנודתיות גבוהה,מדד מנהלי הרכש - מגזר השירותים  (יוני),52.9,53.1,53.1
17:00,ארצות הברית,צפויה תנודתיות גבוהה,מדד ISM במגזר הלא-יצרני  (יוני),50.8,50.8,49.9
